KYTREASNOX,MCALDT,TMYTM
2000002,03/31/1986,6.471557698
2000002,04/30/1986,6.2231363056
2000002,05/30/1986,6.4280350466
2000002,06/30/1986,6.1005928205
2000002,07/31/1986,5.9035121619
2000002,08/29/1986,5.2558206231
2000002,09/30/1986,5.2980650781
2000002,10/31/1986,5.2965213488
2000002,11/28/1986,5.4917375076
2000002,12/31/1986,5.7805067722
2000002,01/30/1987,5.7076123345
2000002,02/27/1987,5.5534069482
2000002,03/31/1987,5.7192468114
2000002,04/30/1987,5.6257892121
2000002,05/29/1987,5.7898813824
2000002,06/30/1987,5.8427108786
2000002,07/31/1987,6.1911821518
2000002,08/31/1987,6.2963429096
2000002,09/30/1987,6.7487498159
2000002,10/30/1987,5.3684246972
2000002,11/30/1987,5.5448268941
2000002,12/31/1987,5.7903469319
2000002,01/29/1988,5.7487529993
2000002,02/29/1988,5.7268257048
2000002,03/31/1988,5.8212077501
2000002,04/29/1988,6.098543148
2000002,05/31/1988,6.6668612547
2000002,06/30/1988,6.6965579071
2000002,07/29/1988,7.0981469799
2000002,08/31/1988,7.4609667334
2000002,09/30/1988,7.4078002384
2000002,10/31/1988,7.5190571951
2000002,11/30/1988,8.0037343503
2000002,12/30/1988,8.2864410557
2000002,01/31/1989,8.589704427
2000002,02/28/1989,8.9214681514
2000002,03/31/1989,9.1151436881
2000002,04/28/1989,8.607363672
2000002,05/31/1989,8.8166889024
2000002,06/30/1989,8.1726291077
2000002,07/31/1989,7.9734859382
2000002,08/31/1989,8.07008755
2000002,09/29/1989,8.0898753339
2000002,10/31/1989,7.9477091796
2000002,11/30/1989,7.7598590901
2000002,12/29/1989,7.7228590456
2000002,01/31/1990,7.9158072945
2000002,02/28/1990,7.9468381481
2000002,03/30/1990,7.9761164595
2000002,04/30/1990,7.9631526411
2000002,05/31/1990,7.9252844084
2000002,06/29/1990,7.9140796112
2000002,07/31/1990,7.6581197093
2000002,08/31/1990,7.5523870075
2000002,09/28/1990,7.2942324993
2000002,10/31/1990,7.2647193972
2000002,11/30/1990,7.1703766801
2000002,12/31/1990,6.5704887653
2000002,01/31/1991,6.3152904578
2000002,02/28/1991,6.1608233737
2000002,03/28/1991,5.8520675512
2000002,04/30/1991,5.6163837775
2000002,05/31/1991,5.6356426612
2000002,06/28/1991,5.645923555
2000002,07/31/1991,5.6365170367
2000002,08/30/1991,5.4304852621
2000002,09/30/1991,5.2029628643
2000002,10/31/1991,4.9066956753
2000002,11/29/1991,4.4243233727
2000002,12/31/1991,3.9230135421
2000002,01/31/1992,3.9019047679
2000002,02/28/1992,3.9940474
2000002,03/31/1992,4.1176358797
2000002,04/30/1992,3.7588075185
2000002,05/29/1992,3.7586133829
2000002,06/30/1992,3.6261443409
2000002,07/31/1992,3.2268310517
2000002,08/31/1992,3.2061094234
2000002,09/30/1992,2.7265699039
2000002,10/30/1992,3.002055961
2000002,11/30/1992,3.3183666087
2000002,12/31/1992,3.1247792091
2000002,01/29/1993,2.9407752785
2000002,02/26/1993,2.9918418708
2000002,03/31/1993,2.9307986178
2000002,04/30/1993,2.9509880826
2000002,05/28/1993,3.1042110133
2000002,06/30/1993,3.0738212958
2000002,07/30/1993,3.0735617957
2000002,08/31/1993,3.0527462923
2000002,09/30/1993,2.9613215627
2000002,10/29/1993,3.0735617957
2000002,11/30/1993,3.1863718895
2000002,12/31/1993,3.0531302707
2000002,01/31/1994,3.0016847364
2000002,02/28/1994,3.4103512984
2000002,03/31/1994,3.5337149948
2000002,04/29/1994,3.9326166525
2000002,05/31/1994,4.2816032639
2000002,06/30/1994,4.219617863
2000002,07/29/1994,4.3423308416
2000002,08/31/1994,4.6402247837
2000002,09/30/1994,4.7524593648
2000002,10/31/1994,5.1208476203
2000002,11/30/1994,5.6673701203
2000002,12/30/1994,5.6356426612
2000002,01/31/1995,5.945642553
2000002,02/28/1995,5.8735935887
2000002,03/31/1995,5.8104533092
2000002,04/28/1995,5.8001682438
2000002,05/31/1995,5.7393699808
